country,ISO 3 country code,ISO 2 country code,country full name,currency,capital city,region,continent,demonym,latitude,longitude,agricultural land,forest area,land area,rural land area,urban land area,central government debt,expense,MillionGDP,GDP,inflation,self-employed workers,tax revenue,unemployment,vulnerable employment,access to electricity,alternative and nuclear energy,electricity production from coal sources,electricity production from hydroelectric sources,electricity production from natural gas sources,electricity production from nuclear sources,electricity production from oil sources,"electricity production from renewable sources, excluding hydroelectric",net energy imports,fossil fuel energy consumption,renewable energy consumption,carbon dioxide emissions (CO2),methane emissions,nitrous oxide emissions,"other greenhouse gas emissions, HFC, PFC and SF6",urban population living in areas where elevation is below 5 meters ,health expenditure,health expenditure per capita,hospital beds,incidence of HIV,suicidemortalityrate,armed forces personnel,"internally displaced persons, by conflict and violence",military expenditure,birth rate,death rate,fertility rate,individuals using the Internet,life expectancy at birth,net migration,female population,male population,population,proportion of seats held by women in national parliaments,rural population,urban population,press freedom,democracy score,democracy type,median age,political leader,title of the political leader
Iceland,ISL,IS,Republic of Iceland,Iceland krona,Reykjavík,Northern Europe,Europe,Icelander,65,-18,18720,520.033,100830,88792.01078,107.5600307,86.49654623,33.09327352,31020.03258,31020032583,8.736302999,13.67489507,22.52200818,3.562,9.689087696,100,37.51693413,0,73.3070908,0,0,0.021277728,26.67163147,11.55755169,11.28886875,82.4,1446.6,515.164553,368.658861,-1573.884163,6.321131979,8.57,6400,2.83,0.04,11.9,0,,,11.5,7,1.589,99.68701957,82,380,191856,201745,393600,47.61904762,23451,370149,5.32,9.58,Full democracy,32.5,Katrín Jakobsdóttir,Prime Minister
Senegal,SEN,SN,Republic of Senegal,West African CFA franc,Dakar,Western Africa,Africa,Senegalese,14,-14,95110,80281.6,192530,194448.5732,1566.403821,,23.2604407,31013.98643,31013986429,9.696818991,64.35741152,18.70278451,2.93,62.55381676,67.9,0.609516756,0,8.647281922,4.17193426,0,83.61567636,1.769911504,52.69248699,53.90911721,35.4,10680.2,11762.77345,6023.255046,2962.705475,4.815481995,4.35098124,71.22032928,0.3,0.09,6,19000,8400,1.572134704,32.067,5.548,4.314,58.05481906,68,-19999,9025674,8737489,17763163,46.06060606,8956364,8806799,3.03,6.15,Flawed democracy,14.1,Macky Sall,President
Papua New Guinea,PNG,PG,The Independent State of Papua New Guinea,Papua New Guinea kina,Port Moresby,Melanesia,Oceania,Papua New Guinean,-6,147,14410,358222.3,452860,462122.298,415.3979695,48.2553884,19.47580592,30932.49625,30932496250,2.298699913,78.10678078,14.79089987,2.651,75.42217692,19,,,,,,,,,,54.6,5491.5,10854.74217,1704.47708,-1266.988083,4.768551759,2.32032132,61.41452789,4.024199963,0.65,3,4000,87000,0.33290492,25.112,6.459,3.165,32.05416291,66,-800,5006583,5323347,10329931,2.702702703,8912355,1417576,3.17,6.03,Flawed democracy,18.3,James Marape,Prime Minister
Georgia,GEO,GE,Georgia,Georgian lari,Tbilisi,Western Asia,Asia,Georgian,42,43.5,23799,28224,69490,68068.72537,1130.16341,42.96939336,24.93645347,30535.53048,30535530479,2.487760566,48.91583586,22.90227834,11.622,46.77185506,100,15.74637393,0,78.03932429,21.96067571,0,0,0,68.75204873,72.20953534,25.2,10255,5133.092908,2158.298117,1189.585938,3.039593946,7.37,484,2.89,0.14,9.2,26000,311000,1.4309861,13.099,15.197,2.063,78.71127536,72,-9999,1993159,1767206,3760365,18.43971631,1476808,2283557,2.7,5.5,Hybrid regime,32.7,Giorgi Gakharia,Prime Minister
Cyprus,CYP,CY,Republic of Cyprus,Euro,Nicosia,Southern Europe,Europe,Cypriot,35,33,1231.349,1725.1,9240,8747.627334,518.9803766,91.66831341,40.03015931,29482.91284,29482912835,2.446088672,11.85202589,23.23325563,7.513,9.903667755,100,5.226961887,0,0,0,0,91.21994264,8.780057357,94.02675052,92.90621503,15.6,6771.8,749.702555,371.65818,577.5727234,2.565149529,9.43,2990,3.4,0.03,3.6,13000,242000,1.907460023,10.313,7.257,1.321,90.75951564,81,1995,621034,623154,1244188,14.28571429,412374,831814,3.6,7.59,Flawed democracy,33.6,Nicos Anastasiades,President
Zambia,ZMB,ZM,Republic of Zambia,New Zambian kwacha,Lusaka,Eastern Africa,Africa,Zambian,-15,30,238390,446258.133,743390,740140.2194,2079.135102,71.41117617,25.1370961,28162.63095,28162630954,10.88453169,73.01929914,16.78041068,5.913,69.24004369,47.8,9.674833364,0,96.99382395,0,0,3.006176055,0,8.29294291,10.5633241,83,7607.1,15448.75233,12363.49464,1849.415859,0,6.62416458,75.3394928,2,1.86,7.3,16000,,1.186304329,34.127,6.716,4.242,21.23153129,62,-5000,10420876,10148862,20569737,14.97005988,11038749,9530988,2.15,5.61,Hybrid regime,13.4,Edgar Lungu,President
Trinidad and Tobago,TTO,TT,Republic of Trinidad and Tobago,Trinidad and Tobago dollar,Port of Spain,Caribbean,America,Trinidadian,11,-61,540,2277.7,5130,4364.437481,812.9608679,15.92800424,32.89953799,28139.94479,28139944790,4.629302424,24.51663562,16.54688051,4.206,20.68220659,100,0,0,0,99.76699029,0,0.233009709,0,-102.6627373,99.91950642,0.5,15420,6667.330375,412.555358,-13784.26263,2.955344111,7.0194726,1125.397339,3.02,,8.7,5000,,0.716467302,11.382,8.097,1.614,79,75,-800,778529,756408,1534937,28.57142857,714682,820255,3.16,7.16,Flawed democracy,32.4,Keith Rowley,Prime Minister
Bosnia and Herzegovina,BIH,BA,Bosnia and Herzegovina,Bosnia and Herzegovina convertible mark,Sarajevo,Southern Europe,Europe,Bosnian,44,18,22630,21879.1,51200,49134.66048,1641.927708,41.74351052,33.42377051,27054.88936,27054889363,2.05267452,24.78080425,19.09105987,10.42,18.87793325,100,4.273871359,63.97722183,35.51730757,0.191950861,0,0.313519739,0,22.73008923,77.52204497,36.6,20946.8,3660.954549,1283.7036,-3144.119263,0,9.56,692,3.49,,10.9,11000,91000,0.81044224,8.278,15.865,1.346,78.8455371,75,-500,1630487,1580360,3210847,19.04761905,1596786,1614061,2.69,4.98,Hybrid regime,38.3,Valentin Inzko,High Representative
Zimbabwe,ZWE,ZW,Republic of Zimbabwe,U.S. dollar,Harare,Eastern Africa,Africa,Zimbabwean,-20,30,162000,173985.1,386850,386236.172,2024.485897,,10.97727965,26538.2735,26538273499,104.7051706,63.46571531,7.214765005,8.759,61.30312883,50.1,3.295842801,46.7813369,51.39561232,0,0,0.494386652,1.328664126,15.30901301,29.0957594,82.4,8312.5,12060.82302,4690.849521,1587.37207,0,2.78975058,62.73724365,1.7,1.12,14.1,51000,,0.427056563,30.086,8.943,3.437,34.81397069,59,-9999,8786155,7879254,16665409,30.68181818,11246318,5419091,1.85,3.16,Authoritarian,14.4,Emmerson Mnangagwa,President
Armenia,ARM,AM,Republic of Armenia,Armenian dram,Yerevan,Western Asia,Asia,Armenian,40,45,16748.2,3282.6,28470,27342.21829,922.3350265,46.55189867,21.16278943,24212.13463,24212134631,1.980418776,62.46533885,21.82719093,8.586,61.65090669,100,25.71826413,0,28.28567765,35.91486088,31.80645161,0,0.051288627,71.34130452,74.56186571,9.1,6746.6,2319.921617,1173.579946,722.1551208,0,12.34,613,4.2,0.19,3.3,47000,7600,4.317106672,11.7,11.881,1.575,78.61225758,73,-5000,1528880,1249091,2777970,35.51401869,1007320,1770650,2.7,4.79,Hybrid regime,31.2,Nikol Pashinyan,Prime Minister
